Participant,Condition,Algorithm,Snippet,Count,Responded,Not Responded,Correct,Incorrect,Late Responded,MultiClicks,OverallClicks,ResponseTime,ClickTime
p02,Comprehension,Loop,hIndex,1,0,1,0,0,0,0,0,60000,
p02,Comprehension,Loop,GreatestCommonDivisor,1,0,1,0,0,0,0,0,60000,
p02,Comprehension,Recursion,RecursiveBinaryToDecimal,1,1,0,1,0,0,0,1,38815,296
p02,Comprehension,IfElse,DumbSort,1,1,0,1,0,0,0,1,40162,300
p02,Comprehension,IfElse,isHurricane,1,1,0,1,0,0,0,1,21965,281
p02,Comprehension,Recursion,RecursiveCrossSum,1,1,0,1,0,0,0,1,38908,337
p02,Comprehension,Loop,CountVowels,1,1,0,1,0,0,0,1,45205,263
p02,Comprehension,IfElse,YesNo,1,1,0,1,0,0,0,1,19444,271
p02,Comprehension,Recursion,RecursiveFibonacciVariant,1,1,0,1,0,0,0,1,25341,304
p02,Comprehension,Loop,lengthOfLastWord,1,1,0,1,0,0,0,1,54885,264
p02,Comprehension,Loop,ArrayAverage,1,1,0,1,0,1,0,1,58252,216
p02,Comprehension,Recursion,RecursivePower,1,1,0,1,0,0,0,1,54894,245
p02,Comprehension,Loop,isPalindrome,1,1,0,1,0,0,0,1,40776,299
p02,Comprehension,Loop,SquareRoot,1,0,1,0,0,0,0,0,60000,
p02,Comprehension,Loop,ContainsSubstring,1,1,0,1,0,0,0,1,37264,324
p02,Comprehension,Recursion,RecursiveFactorial,1,1,0,1,0,0,0,1,16424,328
p02,Syntax,,Syn_BubbleSort,1,1,0,1,0,0,1,8,10475,208
p02,Syntax,,Syn_DecimalToBinary,1,1,0,1,0,0,1,6,6185,235
p02,Syntax,,Syn_CountSameCharsAtSamePosition,1,1,0,1,0,0,1,7,5656,250
p02,Syntax,,Syn_StringPermutation,1,1,0,1,0,0,1,11,11017,186
p02,Syntax,,Syn_IntertwineTwoWords,1,1,0,1,0,0,1,11,8406,266
p01,Comprehension,Loop,ArrayAverage,1,1,0,0,1,0,0,1,53870,214
p01,Comprehension,Loop,ContainsSubstring,1,1,0,0,1,0,0,1,,0
p01,Comprehension,Recursion,RecursiveBinaryToDecimal,1,1,0,0,1,0,0,1,34019,222
p01,Comprehension,Loop,CountVowels,1,1,0,0,1,1,0,1,59245,227
p01,Comprehension,IfElse,DumbSort,1,1,0,0,1,0,0,1,39911,211
p01,Comprehension,Recursion,RecursiveCrossSum,1,1,0,0,1,0,0,1,49632,277
p01,Comprehension,Loop,GreatestCommonDivisor,1,1,0,0,1,1,0,1,58899,393
p01,Comprehension,IfElse,isHurricane,1,1,0,1,0,0,0,1,47802,286
p01,Comprehension,Recursion,RecursiveFactorial,1,1,0,0,1,0,0,1,40738,767
p01,Comprehension,Loop,isPalindrome,1,1,0,0,1,0,0,1,26396,262
p01,Comprehension,Loop,hIndex,1,1,0,0,1,0,0,1,47604,279
p01,Comprehension,Recursion,RecursiveFibonacciVariant,1,1,0,0,1,1,0,1,59202,159
p01,Comprehension,Loop,lengthOfLastWord,1,1,0,0,1,0,0,1,18854,630
p01,Comprehension,Loop,SquareRoot,1,1,0,0,1,0,0,1,10131,131
p01,Comprehension,IfElse,YesNo,1,1,0,0,1,0,1,2,12631,115
p01,Comprehension,Recursion,RecursivePower,1,1,0,0,1,0,1,2,31113,78
p01,Syntax,,Syn_BubbleSort,1,1,0,1,0,0,1,6,13190,181
p01,Syntax,,Syn_CountSameCharsAtSamePosition,1,1,0,1,0,0,1,13,19889,159
p01,Syntax,,Syn_DecimalToBinary,1,1,0,1,0,0,1,7,10906,169
p01,Syntax,,Syn_IntertwineTwoWords,1,1,0,1,0,0,1,11,17818,178
p01,Syntax,,Syn_StringPermutation,1,1,0,1,0,0,1,12,14058,154
p03,Comprehension,IfElse,YesNo,1,1,0,1,0,0,0,1,27260,331
p03,Comprehension,Loop,isPalindrome,1,1,0,1,0,0,0,1,41390,412
p03,Comprehension,Recursion,RecursiveCrossSum,1,1,0,1,0,0,0,1,21649,431
p03,Comprehension,Loop,CountVowels,1,1,0,1,0,0,0,1,18872,1569
p03,Comprehension,Loop,hIndex,1,1,0,0,1,1,0,2,59156,297
p03,Comprehension,Recursion,RecursiveFactorial,1,1,0,1,0,0,0,1,20370,332
p03,Comprehension,Loop,ArrayAverage,1,1,0,1,0,1,1,1,59958,0
p03,Comprehension,Loop,ContainsSubstring,1,1,0,0,1,1,0,1,58529,348
p03,Comprehension,Recursion,RecursivePower,1,1,0,1,0,0,0,1,37036,278
p03,Comprehension,Loop,GreatestCommonDivisor,1,1,0,0,1,1,0,1,59709,233
p03,Comprehension,IfElse,isHurricane,1,1,0,1,0,0,0,1,19497,455
p03,Comprehension,Recursion,RecursiveFibonacciVariant,1,1,0,0,1,1,0,1,58849,237
p03,Comprehension,IfElse,DumbSort,1,1,0,1,0,0,0,1,18875,292
p03,Comprehension,Loop,SquareRoot,1,1,0,1,0,0,0,1,36423,2542
p03,Comprehension,Loop,lengthOfLastWord,1,1,0,1,0,0,0,1,51067,316
p03,Comprehension,Recursion,RecursiveBinaryToDecimal,1,1,0,0,1,1,0,1,59076,309
p03,Syntax,,Syn_DecimalToBinary,1,1,0,0,1,0,1,9,8540,102
p03,Syntax,,Syn_StringPermutation,1,1,0,1,0,0,1,13,7080,207
