condition,BA21,BA39,BA44,BA6
ArrayAverage,1.6892079317819724,2.173725989581266,1.8664215953846413,1.75786183480145
ContainsSubstring,1.7504872941691985,2.14643490343819,1.8384544958595643,1.7512468822530987
CountVowels,1.3510114968724176,1.683195898282127,1.4426453123151148,1.3870715309050237
DumbSort,1.5271402046631413,2.248810875388715,1.7818412156223071,1.6199700792535672
GreatestCommonDivisor,1.5545483502396449,2.0983327356621033,1.8401112811663327,1.5985564764699172
RecursiveBinaryToDecimal,1.6544992454361904,2.3374766119105197,2.0261412457635015,1.9169480263641658
RecursiveCrossSum,1.302777039205096,1.751587461041594,1.6974919670155526,1.5490968589968415
RecursiveFactorial,1.1212112810129429,1.3592147159918861,1.3599217154215173,1.046228620507691
RecursiveFibonacciVariant,1.2865381215039227,1.9975970775736422,1.7789634250145916,1.3697189599347301
RecursivePower,1.1674256264262224,1.8317136293095564,1.6068373698653637,1.3956311225597429
SquareRoot,1.637526603167754,1.8591776308704138,1.6780924111426254,1.7137699925808159
YesNo,1.2723787386544751,1.617933997865411,1.38307282247274,1.2381227326469357
hIndex,1.6176979510535865,1.896293035939589,1.5458053538376237,1.5804426876093811
isHurricane,1.0960963849131833,1.3375688090502815,1.267555640881915,1.3721676081015117
isPalindrome,1.5769196490018749,2.032951176373168,1.7432631676333419,1.646258676250727
lengthOfLastWord,1.508408997285908,2.0903860642693077,1.7658804964078767,1.6142159691958329
