participant,Snippet,BA21,BA39,BA44,BA6
p16,ArrayAverage,1.8255647913307114,2.0234954220336268,1.600871244442761,1.7471788661796384
p02,ArrayAverage,2.4065123378702027,3.1745141581089578,1.983977187145176,2.251449217297217
p04,ArrayAverage,2.495134338963814,2.0126309003653193,1.744860675988407,2.093229519416895
p07,ArrayAverage,0.9857688998740115,1.9008472221961046,1.109126107053989,0.7488688092659341
p18,ArrayAverage,1.1924862944615404,2.067723152427817,1.7127934776974607,1.118837901157671
p19,ArrayAverage,1.6555876643340004,1.7102890179102324,1.6651094055702074,1.4918564170242663
p15,ArrayAverage,1.712673943398284,2.768108203607143,1.9504381115876788,3.3864120134005287
p01,ArrayAverage,2.730147053804475,3.0473270393050274,3.466104945602367,2.4131296380866347
p17,ArrayAverage,0.3880750575188388,1.5045741223369098,2.128481435125569,0.9761619156144962
p05,ArrayAverage,1.3534608933039178,2.4854113208312034,2.2383047914843925,2.464239792213082
p13,ArrayAverage,1.4404915206140045,1.2132686130855628,1.242558910210859,0.7899082064763308
p14,ArrayAverage,1.8300412801041115,2.6087328766332867,2.7721806485808727,1.7859028382022015
p11,ArrayAverage,2.110367696369886,1.8354856973370257,1.570207290094388,1.420928723546389
p08,ArrayAverage,2.797415064312499,3.131073529560708,2.1592191601010446,2.410145218863941
p03,ArrayAverage,1.5886743409342394,2.2046550241453042,1.8904881805723617,1.6019040201009536
p09,ArrayAverage,1.3504948134149672,1.6858385134640501,1.5727331445616413,1.2864417641476185
p06,ArrayAverage,1.2108989653318094,1.5173199414096403,0.8522581704953238,1.8041495462796475
p10,ArrayAverage,1.331947816134193,2.235773057704866,1.9358758306090391,1.8507686191526562
p16,ContainsSubstring,2.0883837259432805,3.0761289073321723,2.4504659233792667,2.4112703264086512
p02,ContainsSubstring,2.2870264230881268,2.07819128868699,1.9072313465101622,1.980506283231163
p04,ContainsSubstring,1.325246452043879,1.5286104139097825,1.173374921456433,2.025573164405694
p07,ContainsSubstring,2.0222220752726363,1.9876827764548204,1.7590573665222062,0.8209526638249041
p18,ContainsSubstring,0.893857137627794,0.733340211279362,1.7518419069742768,0.3421897409485463
p19,ContainsSubstring,1.3727996238246172,1.3894413309621414,1.2446163839117743,0.8204468862209939
p15,ContainsSubstring,2.6451172079006238,2.135578444240202,1.8956393072085458,1.8464902286054996
p01,ContainsSubstring,2.3510959611622515,3.068287878466154,2.9854897567835366,2.377863824523333
p17,ContainsSubstring,0.523775776315771,1.0858154753196132,0.9051455024510568,1.3984214468039147
p05,ContainsSubstring,0.9088719354467072,2.19256246289153,1.9075879568005076,1.772080274038582
p13,ContainsSubstring,2.1548755132720823,2.4334487612802276,1.2630020317824546,1.7576296706250865
p14,ContainsSubstring,2.2631554224486212,3.394786432520708,2.9732687656122643,2.349084628064073
p11,ContainsSubstring,1.6845694568695917,2.1069576788938584,1.574539530106941,1.442215985766381
p08,ContainsSubstring,1.4446960119241883,1.3779884663608974,1.162003141707423,1.8286469886792638
p03,ContainsSubstring,2.6044572432598345,3.0143029498352343,1.9230364363101868,1.8100562559884077
p09,ContainsSubstring,2.272754793686628,3.287927615157736,2.572232667184667,2.3874377923700068
p06,ContainsSubstring,0.5012896221201948,1.8472861411061943,1.9037059504276868,1.5968697304444885
p10,ContainsSubstring,2.164576912838747,1.897491027189802,1.7399420303427684,2.554707989606788
p16,CountVowels,1.3400575455682566,1.8762332124117385,1.5970465763976445,1.0478102162186973
p02,CountVowels,2.084389257733683,2.373669750908473,2.1164275846207508,1.5260026554614945
p04,CountVowels,2.042671823193267,1.9173767184450585,1.62760245934736,2.114389403069267
p07,CountVowels,0.7840190535592308,1.0598970700813135,0.6684739230640646,0.7891939545777444
p18,CountVowels,0.07088109114966996,1.0682752149128236,2.2239146537879866,0.3962376163672444
p19,CountVowels,0.8811582374857808,0.7181318146464386,1.0510587826540458,1.3166056100845482
p15,CountVowels,1.510060376406467,2.5893580057227523,2.2886113388184075,0.8688897423109755
p01,CountVowels,2.2535084211575174,1.5774511566666167,1.3578417728465975,2.3456196551898016
p17,CountVowels,1.0261895810863086,2.0438525386955275,2.6526928106938397,1.6221655292402555
p05,CountVowels,1.6709765528078466,1.3716301968094984,1.2895813143623416,1.5107003874896718
p13,CountVowels,1.6995433479784565,2.347849670334318,0.6432949455797335,0.7432055154863204
p14,CountVowels,2.0072912232213684,1.4966221987462587,1.2771057152018441,1.6216065671745543
p11,CountVowels,1.8137059689616906,1.7429446560535484,1.340499249384343,1.2232193414182304
p08,CountVowels,0.8439179951817766,0.8079394066843091,0.7520273829523987,1.004658869771847
p03,CountVowels,1.2974278211652794,1.8451577152949068,1.5126646512056567,1.9006709847740162
p09,CountVowels,0.12911609111260894,2.5366810570015943,1.2325269625341277,1.5669798146833118
p06,CountVowels,1.0970773451852074,1.201699206154011,0.46224335008359146,1.248929396430964
p10,CountVowels,1.766215210749096,1.7227565795090949,1.8740021481373295,2.1204022965414815
p16,DumbSort,1.6291019642283708,1.351414460453491,1.2505545825480406,1.5385880501717872
p02,DumbSort,2.2254803512308374,3.076191583663464,1.9857306910791128,1.4032912286969756
p04,DumbSort,1.6724094548885284,1.8678640131043591,1.3746336107568993,2.1132564184007725
p07,DumbSort,1.6340932681495772,2.295970117935165,1.5519665660660449,1.4484621414221857
p18,DumbSort,0.09468392937493403,1.5090979860012688,1.280535597035238,0.3343045680955875
p19,DumbSort,2.2565647429000624,1.6360146570974892,2.589288372301477,1.0868118690704895
p15,DumbSort,1.7499197084383304,2.627152222059653,2.140452020828006,1.9397723262077258
p01,DumbSort,1.9874929370919439,1.4012678528291485,1.621192654145747,1.0348113706682995
p17,DumbSort,1.5960980681146821,3.5574164415210716,2.1048807748067704,1.6884978778003412
p05,DumbSort,1.207202663352477,1.9748156345020922,2.0220622789882645,1.5515420652256564
p13,DumbSort,1.177986681465984,1.8663321397098187,1.1327084539871342,1.1553190262139377
p14,DumbSort,1.4750769202369582,2.8703117255617867,1.9685566705011128,1.728668815783879
p11,DumbSort,2.418358902113095,3.2252875999304775,2.060378188981482,2.3712214020981435
p08,DumbSort,1.8641660900660382,3.5393813099773634,2.554526172082049,2.4590096537173562
p03,DumbSort,1.5365782201413842,2.1828962798616707,1.8686695121912873,1.76763381076403
p09,DumbSort,1.152308095358076,1.9031685672718326,1.291491844139227,1.762976555916827
p06,DumbSort,0.46345437866403705,1.3840904557147193,0.7969256741279692,1.6046420898669096
p10,DumbSort,1.3475473081212281,2.209922709802003,2.478588216635666,2.1706521564433072
p16,GreatestCommonDivisor,1.2564009607685815,1.5985652030231736,1.2170756574949573,0.8830012780190535
p02,GreatestCommonDivisor,2.2563475053872457,2.81056824091069,2.05674621981976,2.776453483921555
p04,GreatestCommonDivisor,2.104665573621489,2.0200129350489338,1.398768781229096,1.6490148465360102
p07,GreatestCommonDivisor,1.5849932151084518,3.2630938633233946,1.8884838397662072,0.9612899368873166
p18,GreatestCommonDivisor,0.0710801633779824,0.7954440678463663,1.2975837807197195,0.6257827462061303
p19,GreatestCommonDivisor,1.4903804274422914,1.9092042248030763,1.3953653521553973,1.8782499985478232
p15,GreatestCommonDivisor,2.002789910013562,1.0665632603407902,1.5774375803208565,1.165917895053864
p01,GreatestCommonDivisor,1.744899844816421,2.6378812703620813,2.8270181756559984,1.7449215081215226
p17,GreatestCommonDivisor,0.8656789090884486,2.384385420236578,1.972309851780911,1.841813923953606
p05,GreatestCommonDivisor,1.4838469128729508,1.1983369019485346,1.158162248996371,1.4615773792648108
p13,GreatestCommonDivisor,1.603742516124964,1.5297581792202757,0.83125835024637,1.1087257575905838
p14,GreatestCommonDivisor,1.2870340533696982,1.5236243358413661,1.5822561710341638,1.39984978479338
p11,GreatestCommonDivisor,2.0862964536886777,1.7362698939317416,2.8413123043565647,1.7437016403547285
p08,GreatestCommonDivisor,3.06158339178447,2.8348828266511017,1.956314874499498,2.341031934380699
p03,GreatestCommonDivisor,2.321074775376454,3.365466323897366,3.022750575560493,2.743192444839746
p09,GreatestCommonDivisor,0.8269687793908738,2.5932398456251775,2.4243680972458836,2.0765151188217863
p06,GreatestCommonDivisor,0.5082881855960512,2.0324220028618862,1.9059757552868877,1.0893372041552432
p10,GreatestCommonDivisor,1.4257987264849985,2.47027044604533,1.7688154448248536,1.2836396950106523
p16,RecursiveBinaryToDecimal,1.0953112865457095,1.4118071534766474,1.3399482254527246,1.380474975286887
p02,RecursiveBinaryToDecimal,2.064896178830807,2.9625455867593242,1.6520067390123803,2.3197554051807963
p04,RecursiveBinaryToDecimal,2.4918838021522345,2.3915059173187045,1.4997164604273276,1.9590489753595115
