participant,snippet,subj_complexity
p01,isHurricane,0.0
p01,RecursiveBinaryToDecimal,33.0
p01,hIndex,33.0
p01,GreatestCommonDivisor,33.0
p01,CountVowels,33.0
p01,isPalindrome,33.0
p01,DumbSort,33.0
p01,ArrayAverage,33.0
p01,SquareRoot,67.0
p01,LengthOfLastWord,67.0
p01,YesNo,67.0
p01,ContainsSubstring,67.0
p01,RecursiveCrossSum,100.0
p01,RecursiveFactorial,100.0
p01,RecursiveFibonacciVariant,100.0
p01,RecursivePower,100.0
p02,CountVowels,0.0
p02,isHurricane,0.0
p02,RecursiveCrossSum,0.0
p02,YesNo,0.0
p02,ArrayAverage,0.0
p02,LengthOfLastWord,0.0
p02,ContainsSubstring,0.0
p02,RecursiveFactorial,0.0
p02,isPalindrome,0.0
p02,RecursiveFibonacciVariant,33.0
p02,RecursivePower,33.0
p02,DumbSort,67.0
p02,RecursiveBinaryToDecimal,67.0
p02,GreatestCommonDivisor,67.0
p02,hIndex,100.0
p03,isHurricane,0.0
p03,YesNo,0.0
p03,RecursiveCrossSum,50.0
p03,CountVowels,50.0
p03,RecursiveFactorial,50.0
p03,GreatestCommonDivisor,50.0
p03,DumbSort,50.0
p03,SquareRoot,50.0
p03,LengthOfLastWord,50.0
p03,isPalindrome,100.0
p03,hIndex,100.0
p03,ArrayAverage,100.0
p03,ContainsSubstring,100.0
p03,RecursiveFibonacciVariant,100.0
p03,RecursiveBinaryToDecimal,100.0
p04,CountVowels,0.0
p04,isHurricane,0.0
p04,RecursiveBinaryToDecimal,0.0
p04,DumbSort,0.0
p04,YesNo,0.0
p04,RecursiveCrossSum,50.0
p04,RecursivePower,50.0
p04,LengthOfLastWord,50.0
p04,RecursiveFibonacciVariant,50.0
p04,SquareRoot,100.0
p04,hIndex,100.0
p04,isPalindrome,100.0
p04,ArrayAverage,100.0
p04,ContainsSubstring,100.0
p04,RecursivePower,100.0
p04,GreatestCommonDivisor,100.0
p05,CountVowels,0.0
p05,YesNo,0.0
p05,isPalindrome,0.0
p05,RecursiveCrossSum,0.0
p05,isHurricane,0.0
p05,RecursiveFactorial,0.0
p05,SquareRoot,0.0
p05,RecursiveBinaryToDecimal,0.0
p05,hIndex,50.0
p05,LengthOfLastWord,50.0
p05,ContainsSubstring,50.0
p05,RecursiveFibonacciVariant,100.0
p05,DumbSort,100.0
p05,GreatestCommonDivisor,100.0
p05,ArrayAverage,100.0
p06,DumbSort,0.0
p06,YesNo,0.0
p06,CountVowels,0.0
p06,ContainsSubstring,0.0
p06,RecursiveFibonacciVariant,0.0
p06,isPalindrome,0.0
p06,LengthOfLastWord,0.0
p06,RecursivePower,0.0
p06,isHurricane,0.0
p06,RecursiveFactorial,0.0
p06,RecursiveCrossSum,100.0
p06,RecursiveBinaryToDecimal,100.0
p06,GreatestCommonDivisor,100.0
p06,SquareRoot,100.0
p06,hIndex,100.0
p06,ArrayAverage,100.0
p07,RecursiveCrossSum,0.0
p07,CountVowels,0.0
p07,isHurricane,0.0
p07,RecursiveFactorial,0.0
p07,SquareRoot,33.0
p07,ArrayAverage,33.0
p07,DumbSort,33.0
p07,YesNo,33.0
p07,isPalindrome,33.0
p07,RecursiveBinaryToDecimal,67.0
p07,GreatestCommonDivisor,67.0
p07,RecursiveFibonacciVariant,67.0
p07,RecursivePower,67.0
p07,hIndex,100.0
p07,ContainsSubstring,100.0
p07,LengthOfLastWord,100.0
p08,RecursiveFibonacciVariant,0.0
p08,RecursivePower,0.0
p08,isHurricane,0.0
p08,RecursiveFactorial,0.0
p08,YesNo,0.0
p08,RecursiveCrossSum,0.0
p08,RecursiveBinaryToDecimal,50.0
p08,isPalindrome,50.0
p08,ContainsSubstring,50.0
p08,LengthOfLastWord,50.0
p08,hIndex,100.0
p08,GreatestCommonDivisor,100.0
p08,CountVowels,100.0
p08,SquareRoot,100.0
p08,ArrayAverage,100.0
p08,DumbSort,100.0
p09,SquareRoot,0.0
p09,YesNo,0.0
p09,DumbSort,0.0
p09,isHurricane,0.0
p09,CountVowels,0.0
p09,GreatestCommonDivisor,33.0
p09,ArrayAverage,33.0
p09,hIndex,33.0
p09,LengthOfLastWord,67.0
p09,isPalindrome,67.0
p09,ContainsSubstring,67.0
p09,RecursiveBinaryToDecimal,100.0
p09,RecursiveCrossSum,100.0
p09,RecursiveFactorial,100.0
p09,RecursiveFibonacciVariant,100.0
p09,RecursivePower,100.0
p10,CountVowels,0.0
p10,YesNo,0.0
p10,isHurricane,0.0
p10,RecursiveCrossSum,33.0
p10,SquareRoot,33.0
p10,DumbSort,33.0
p10,hIndex,67.0
p10,LengthOfLastWord,67.0
p10,isPalindrome,67.0
p10,RecursiveFactorial,67.0
p10,RecursivePower,67.0
p10,GreatestCommonDivisor,100.0
p10,ArrayAverage,100.0
p10,ContainsSubstring,100.0
p10,RecursiveFibonacciVariant,100.0
p10,RecursiveBinaryToDecimal,100.0
p11,RecursiveFibonacciVariant,0.0
p11,RecursiveFactorial,0.0
p11,DumbSort,0.0
p11,SquareRoot,0.0
p11,isHurricane,0.0
p11,YesNo,0.0
p11,ArrayAverage,33.0
p11,RecursivePower,33.0
p11,RecursiveCrossSum,33.0
p11,RecursiveBinaryToDecimal,33.0
p11,GreatestCommonDivisor,67.0
p11,LengthOfLastWord,67.0
p11,isPalindrome,67.0
p11,CountVowels,100.0
p11,hIndex,100.0
p11,ContainsSubstring,100.0
p12,RecursiveFibonacciVariant,0.0
p12,RecursiveFactorial,0.0
p12,DumbSort,0.0
p12,SquareRoot,0.0
p12,isHurricane,0.0
p12,RecursiveBinaryToDecimal,0.0
p12,ArrayAverage,0.0
p12,RecursivePower,0.0
p12,RecursiveCrossSum,0.0
p12,GreatestCommonDivisor,0.0
p12,YesNo,50.0
p12,LengthOfLastWord,50.0
p12,isPalindrome,50.0
p12,hIndex,50.0
p12,CountVowels,100.0
p12,ContainsSubstring,100.0
p13,LengthOfLastWord,0.0
p13,RecursiveFibonacciVariant,0.0
p13,RecursiveFactorial,0.0
p13,DumbSort,0.0
p13,isHurricane,0.0
p13,ArrayAverage,0.0
p13,RecursivePower,0.0
p13,RecursiveCrossSum,0.0
p13,YesNo,0.0
p13,ContainsSubstring,100.0
